,날짜,언론사,기사제목,링크
0, 2022.01.18 11:01,파이낸셜뉴스,"삼성전자, 새 모바일 두뇌 '엑시노스 2200' 출격",https://finance.naver.com/item/news_read.naver?article_id=0004773976&office_id=014&code=005930&page=11&sm=
1, 2022.01.18 11:00,아시아경제,"삼성전자, 프리미엄 모바일AP '엑시노스 2200' 출시…갤S22 두뇌...",https://finance.naver.com/item/news_read.naver?article_id=0005032109&office_id=277&code=005930&page=11&sm=
2, 2022.01.18 10:52,파이낸셜뉴스,"[특징주] 상신이디피, 삼성 원통형 배터리 테슬라 납품 가능성에↑",https://finance.naver.com/item/news_read.naver?article_id=0004773967&office_id=014&code=005930&page=11&sm=
3, 2022.01.18 10:29,헤럴드경제,"삼성중국본토중소형FOCUS펀드, 중국 펀드 수익률 1위",https://finance.naver.com/item/news_read.naver?article_id=0001939007&office_id=016&code=005930&page=11&sm=
4, 2022.01.18 08:44,이데일리,"""中정책 수혜주 집중""…삼성운용 중국본토중소형 펀드, 1년 수익률 1...",https://finance.naver.com/item/news_read.naver?article_id=0005128697&office_id=018&code=005930&page=11&sm=
5, 2022.01.18 10:02,이데일리,"㈜비츠, 삼성전자 공식비즈니스 파트너 MOU 체결",https://finance.naver.com/item/news_read.naver?article_id=0005128819&office_id=018&code=005930&page=11&sm=
6, 2022.01.18 09:55,조선비즈,"[특징주] 퍼스텍, 13%대 급등…삼성 로봇 사업 강화 영향",https://finance.naver.com/item/news_read.naver?article_id=0000787913&office_id=366&code=005930&page=11&sm=
7, 2022.01.18 09:52,서울경제,"[특징주] 퍼스텍, 삼성전자 인수 기대감에 15% 가까이 급등",https://finance.naver.com/item/news_read.naver?article_id=0004009255&office_id=011&code=005930&page=11&sm=
8, 2022.01.18 09:48,파이낸셜뉴스,"리서치알음 “재영솔루텍, 삼성전자 갤럭시A 전모델에 OIS 납품 수혜 ...",https://finance.naver.com/item/news_read.naver?article_id=0004773899&office_id=014&code=005930&page=11&sm=
9, 2022.01.18 09:12,머니투데이,"재영솔루텍, 삼성 갤럭시A 전 모델에 OIS 탑재…마켓컬리 모멘텀도 ...",https://finance.naver.com/item/news_read.naver?article_id=0004697460&office_id=008&code=005930&page=11&sm=
10, 2022.01.18 09:44,이코노미스트,"삼성전자·SK하이닉스 하락, 삼성전기 2%대↑[개장시황]",https://finance.naver.com/item/news_read.naver?article_id=0000021584&office_id=243&code=005930&page=11&sm=
11, 2022.01.18 08:36,이데일리,삼성 2파운드리 공장 착공절차 돌입…美 테일러 조례 통과,https://finance.naver.com/item/news_read.naver?article_id=0005128685&office_id=018&code=005930&page=11&sm=
12, 2022.01.18 06:31,이데일리,"LG·삼성·SK, 전기차 배터리 이어 ‘소재’까지 영토 확장",https://finance.naver.com/item/news_read.naver?article_id=0005128642&office_id=018&code=005930&page=11&sm=
